runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
5000,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5100,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5200,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5300,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5400,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5500,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5600,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5700,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5800,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
5900,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
6000,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
6100,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
6200,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
6300,-0.7405115984374999,-0.7435259218749999,0.01671863673685793,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
6400,-0.7414303859375,-0.748119859375,0.017029441537165166,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
6500,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
6600,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
6700,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
6800,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
6900,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7000,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7100,-0.7418558359375,-0.748119859375,0.016530075285457187,-0.7596422784375001,-0.7593252351562501,-0.7587968296875002,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7200,-0.74197801875,-0.748119859375,0.016657996547426147,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7300,-0.74197801875,-0.748119859375,0.016657996547426147,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7400,-0.74197801875,-0.748119859375,0.016657996547426147,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7500,-0.74197801875,-0.748119859375,0.016657996547426147,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722217646875,-0.7138580109375001,-0.7088422293750001
7600,-0.74216128125,-0.748119859375,0.01626100900447905,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722400909375,-0.7148659546875001,-0.7103449818750002
7700,-0.74216128125,-0.748119859375,0.01626100900447905,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7533101249999998,-0.748119859375,-0.7335866796874999,-0.722400909375,-0.7148659546875001,-0.7103449818750002
7800,-0.7424176296875,-0.7490657734375,0.016422040381365775,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7537170234374999,-0.7490657734375,-0.7335866796874999,-0.722400909375,-0.7148659546875001,-0.7103449818750002
7900,-0.7424176296875,-0.7490657734375,0.016422040381365775,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7537170234374999,-0.7490657734375,-0.7335866796874999,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8000,-0.7424176296875,-0.7490657734375,0.016422040381365775,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7537170234374999,-0.7490657734375,-0.7335866796874999,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8100,-0.742711396875,-0.7490657734375,0.016301091458531626,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7537170234374999,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8200,-0.742711396875,-0.7490657734375,0.016301091458531626,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7537170234374999,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8300,-0.742711396875,-0.7490657734375,0.016301091458531626,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7537170234374999,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8400,-0.7429045453124999,-0.7490657734375,0.016442595239703487,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7551656367187498,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8500,-0.7429045453124999,-0.7490657734375,0.016442595239703487,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7551656367187498,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8600,-0.7429045453124999,-0.7490657734375,0.016442595239703487,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7551656367187498,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8700,-0.7429045453124999,-0.7490657734375,0.016442595239703487,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7551656367187498,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8800,-0.7429045453124999,-0.7490657734375,0.016442595239703487,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7551656367187498,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
8900,-0.7429045453124999,-0.7490657734375,0.016442595239703487,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7551656367187498,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
