id,runtime,score
4,7100,-194
4,7200,-194
4,7300,-194
4,7400,-194
4,7500,-194
4,7600,-194
4,7700,-194
4,7800,-194
4,7900,-194
4,8000,-194
4,8100,-194
4,8200,-194
4,8300,-194
4,8400,-194
4,8500,-194
4,8600,-194
4,8700,-194
4,8800,-194
4,8900,-194
4,9000,-194
4,9100,-194
4,9200,-194
4,9300,-194
4,9400,-194
4,9500,-194
4,9600,-194
4,9700,-194
4,9800,-194
4,9900,-194
4,10000,-194
5,100,-90
5,200,-90
5,300,-92
5,400,-114
5,500,-114
5,600,-114
5,700,-124
5,800,-156
5,900,-156
5,1000,-180
5,1100,-184
5,1200,-184
5,1300,-186
5,1400,-198
5,1500,-198
5,1600,-198
5,1700,-200
5,1800,-202
5,1900,-202
5,2000,-202
5,2100,-202
5,2200,-202
5,2300,-202
5,2400,-202
5,2500,-210
5,2600,-212
5,2700,-214
5,2800,-216
5,2900,-216
5,3000,-216
5,3100,-216
5,3200,-216
5,3300,-216
5,3400,-216
5,3500,-216
5,3600,-216
5,3700,-220
5,3800,-224
5,3900,-224
5,4000,-224
5,4100,-224
5,4200,-224
5,4300,-224
5,4400,-224
5,4500,-224
5,4600,-224
5,4700,-224
5,4800,-224
5,4900,-224
5,5000,-224
5,5100,-224
5,5200,-224
5,5300,-224
5,5400,-224
5,5500,-224
5,5600,-224
5,5700,-224
5,5800,-224
5,5900,-224
5,6000,-224
5,6100,-224
5,6200,-224
5,6300,-224
5,6400,-224
5,6500,-224
5,6600,-224
5,6700,-224
5,6800,-224
5,6900,-224
5,7000,-224
5,7100,-224
5,7200,-224
5,7300,-224
5,7400,-224
5,7500,-224
5,7600,-224
5,7700,-224
5,7800,-224
5,7900,-224
5,8000,-224
5,8100,-224
5,8200,-224
5,8300,-224
5,8400,-224
5,8500,-224
5,8600,-224
5,8700,-224
5,8800,-224
5,8900,-224
5,9000,-224
5,9100,-224
5,9200,-224
5,9300,-224
5,9400,-224
5,9500,-224
5,9600,-224
5,9700,-224
5,9800,-224
5,9900,-224
5,10000,-224
6,100,-60
6,200,-72
6,300,-96
6,400,-96
6,500,-108
6,600,-110
6,700,-114
6,800,-124
6,900,-126
6,1000,-138
6,1100,-142
6,1200,-148
6,1300,-154
6,1400,-156
6,1500,-162
6,1600,-162
6,1700,-170
6,1800,-170
6,1900,-174
6,2000,-174
6,2100,-174
6,2200,-174
6,2300,-174
6,2400,-174
6,2500,-174
6,2600,-174
6,2700,-174
6,2800,-174
6,2900,-174
6,3000,-174
6,3100,-174
6,3200,-174
6,3300,-174
6,3400,-174
6,3500,-174
6,3600,-174
6,3700,-174
6,3800,-174
6,3900,-174
6,4000,-174
6,4100,-174
6,4200,-174
6,4300,-174
6,4400,-174
6,4500,-174
6,4600,-174
6,4700,-174
6,4800,-174
6,4900,-174
6,5000,-174
6,5100,-174
6,5200,-178
6,5300,-178
6,5400,-178
6,5500,-178
6,5600,-178
6,5700,-178
6,5800,-178
6,5900,-178
6,6000,-180
6,6100,-180
6,6200,-180
6,6300,-180
6,6400,-180
6,6500,-180
6,6600,-180
6,6700,-180
6,6800,-180
6,6900,-180
6,7000,-180
6,7100,-180
6,7200,-180
6,7300,-180
6,7400,-180
6,7500,-180
6,7600,-180
6,7700,-180
6,7800,-180
6,7900,-180
6,8000,-180
6,8100,-180
6,8200,-180
6,8300,-180
6,8400,-180
6,8500,-180
6,8600,-180
6,8700,-180
6,8800,-180
6,8900,-180
6,9000,-180
6,9100,-180
6,9200,-180
6,9300,-180
6,9400,-180
6,9500,-180
6,9600,-180
6,9700,-180
6,9800,-180
6,9900,-180
6,10000,-180
7,100,-65
7,200,-67
7,300,-73
7,400,-97
7,500,-97
7,600,-127
7,700,-127
7,800,-127
7,900,-135
7,1000,-139
7,1100,-163
7,1200,-165
7,1300,-165
7,1400,-175
7,1500,-175
7,1600,-181
7,1700,-183
7,1800,-185
7,1900,-185
7,2000,-185
7,2100,-187
7,2200,-187
7,2300,-187
7,2400,-187
7,2500,-187
7,2600,-187
7,2700,-187
7,2800,-187
7,2900,-189
7,3000,-189
7,3100,-189
7,3200,-189
7,3300,-189
7,3400,-189
7,3500,-189
7,3600,-189
7,3700,-189
7,3800,-189
7,3900,-189
7,4000,-189
7,4100,-189
7,4200,-189
7,4300,-189
7,4400,-189
7,4500,-189
7,4600,-189
7,4700,-189
7,4800,-189
7,4900,-189
7,5000,-189
7,5100,-189
7,5200,-191
7,5300,-191
7,5400,-191
7,5500,-195
7,5600,-195
7,5700,-195
7,5800,-195
7,5900,-195
7,6000,-195
7,6100,-195
7,6200,-195
7,6300,-195
7,6400,-195
7,6500,-195
7,6600,-195
7,6700,-195
7,6800,-195
7,6900,-195
7,7000,-195
7,7100,-195
7,7200,-195
7,7300,-195
7,7400,-195
7,7500,-195
7,7600,-195
7,7700,-195
7,7800,-195
7,7900,-195
7,8000,-195
7,8100,-195
7,8200,-195
7,8300,-195
7,8400,-195
7,8500,-195
7,8600,-195
7,8700,-195
7,8800,-195
7,8900,-195
7,9000,-195
7,9100,-195
7,9200,-195
7,9300,-195
7,9400,-195
7,9500,-195
7,9600,-195
7,9700,-195
7,9800,-195
7,9900,-195
7,10000,-195
8,100,-69
8,200,-99
8,300,-99
8,400,-99
8,500,-133
8,600,-133
8,700,-163
8,800,-163
8,900,-163
8,1000,-167
8,1100,-175
8,1200,-187
8,1300,-187
8,1400,-193
8,1500,-217
8,1600,-217
8,1700,-217
8,1800,-221
8,1900,-221
8,2000,-221
8,2100,-221
8,2200,-221
8,2300,-221
8,2400,-221
8,2500,-221
8,2600,-221
8,2700,-221
8,2800,-221
8,2900,-221
8,3000,-221
8,3100,-221
8,3200,-221
8,3300,-221
8,3400,-221
8,3500,-221
8,3600,-221
8,3700,-221
8,3800,-221
8,3900,-221
8,4000,-221
8,4100,-221
8,4200,-221
8,4300,-221
8,4400,-221
8,4500,-221
8,4600,-221
8,4700,-221
8,4800,-221
8,4900,-221
8,5000,-221
8,5100,-221
8,5200,-221
8,5300,-221
8,5400,-221
8,5500,-221
8,5600,-221
8,5700,-221
8,5800,-221
8,5900,-221
8,6000,-221
8,6100,-221
8,6200,-221
8,6300,-221
8,6400,-221
